task_id,row_id,price_in_euro,year
1,0,99900,1997
1,1,1790,2002
1,2,3490,2004
1,3,1490,2005
1,4,2980,2006
1,5,2450,2008
1,6,5490,2009
1,7,39900,2022
1,8,48340,2023
1,9,3500,1996
1,10,11990,1997
1,11,1100,1999
1,12,3480,2000
1,13,1450,1997
1,14,3990,1998
1,15,1500,2001
1,16,1400,2002
1,17,1550,2003
1,18,1390,2004
1,19,2000,2005
1,20,1990,2006
1,21,1390,2007
1,22,3300,2008
1,23,1450,2009
1,24,7950,1997
1,25,4000,1998
1,26,2000,1999
1,27,2990,2000
1,28,1350,2001
1,29,1490,2002
1,30,1250,2003
1,31,1000,2004
1,32,1099,2005
1,33,2190,2006
1,34,1500,2005
1,35,1950,2006
1,36,1099,2007
1,37,1500,2008
1,38,5900,2009
1,39,5000,2010
1,40,3400,2011
1,41,16980,2012
1,42,24900,1995
1,43,17950,1996
1,44,3999,1999
1,45,2999,2002
1,46,14500,2004
1,47,5990,2005
1,48,2500,2006
1,49,72990,2014
1,50,63900,2015
1,51,66750,2016
1,52,68990,2017
1,53,77900,2019
1,54,249450,2009
1,55,249000,2010
1,56,289890,2011
1,57,2000,2003
1,58,3199,2005
1,59,1700,2008
1,60,7000,2005
1,61,7999,2006
1,62,5199,2007
1,63,3999,2008
1,64,13490,2009
1,65,14500,2010
1,66,1100,2004
1,67,10800,2005
1,68,1250,2006
1,69,6991,2007
1,70,1900,2008
1,71,9900,2009
1,72,7990,2010
1,73,1300,1995
1,74,2290,1996
1,75,1300,1997
1,76,2699,1998
1,77,16500,1999
1,78,2900,2000
1,79,6490,2004
1,80,24900,2005
1,81,13600,2006
1,82,22500,2010
1,83,21890,2016
1,84,14990,2017
1,85,21900,2018
1,86,101950,2019
1,87,26990,2020
1,88,213000,2021
1,89,50990,2022
1,90,47400,2023
1,91,13990,2010
1,92,10000,2011
1,93,12000,2012
1,94,8999,2013
1,95,10750,2014
1,96,11000,2015
1,97,10990,2016
1,98,10990,2017
1,99,23900,2018
1,100,16995,2019
